id,title,description,price,on_sale,category_id,stock,created_at,updated_at
1,Deluxe Pet Feeding Bowl,This is a high-quality fountain pen perfect for everyday use.,137.38,True,8,39,2025-08-15 12:54:49,2025-08-15 12:54:49
2,Eco Digital Piano,This is a high-quality digital piano perfect for everyday use.,185.41,False,9,42,2025-08-15 12:54:49,2025-08-15 12:54:49
3,Eco Digital Piano,This is a high-quality cat scratching post perfect for everyday use.,250.35,True,6,15,2025-08-15 12:54:49,2025-08-15 12:54:49
4,Classic Guitar,This is a high-quality leather backpack perfect for everyday use.,287.9,False,7,99,2025-08-15 12:54:49,2025-08-15 12:54:49
5,Compact Scented Candle,This is a high-quality blender perfect for everyday use.,440.57,True,10,89,2025-08-15 12:54:49,2025-08-15 12:54:49
6,Deluxe Guitar,This is a high-quality yoga mat perfect for everyday use.,48.57,True,8,71,2025-08-15 12:54:49,2025-08-15 12:54:49
7,Compact Reusable Notebook,This is a high-quality treadmill perfect for everyday use.,184.53,True,9,73,2025-08-15 12:54:49,2025-08-15 12:54:49
8,Classic Blender,This is a high-quality portable speaker perfect for everyday use.,383.35,True,3,80,2025-08-15 12:54:49,2025-08-15 12:54:49
9,Compact Travel Pillow,This is a high-quality essential oil diffuser perfect for everyday use.,482.48,False,9,60,2025-08-15 12:54:49,2025-08-15 12:54:49
10,Eco Portable Speaker,This is a high-quality travel pillow perfect for everyday use.,234.92,True,1,26,2025-08-15 12:54:49,2025-08-15 12:54:49
11,Premium Yoga Mat,This is a high-quality fountain pen perfect for everyday use.,235.25,False,3,45,2025-08-15 12:54:49,2025-08-15 12:54:49
12,Premium Resistance Bands,This is a high-quality cat scratching post perfect for everyday use.,424.68,False,9,73,2025-08-15 12:54:49,2025-08-15 12:54:49
13,Deluxe Digital Piano,This is a high-quality cat scratching post perfect for everyday use.,437.13,False,7,54,2025-08-15 12:54:49,2025-08-15 12:54:49
14,Premium Resistance Bands,This is a high-quality treadmill perfect for everyday use.,88.94,False,6,58,2025-08-15 12:54:49,2025-08-15 12:54:49
15,Eco Leather Backpack,This is a high-quality french press coffee maker perfect for everyday use.,406.59,False,1,13,2025-08-15 12:54:49,2025-08-15 12:54:49
16,Compact Slow Cooker,This is a high-quality guitar perfect for everyday use.,72.75,True,8,39,2025-08-15 12:54:49,2025-08-15 12:54:49
